Instance,Income
112189,43410.01
112190,52858.65
112191,80851.53
112192,245496.35
112193,38839.31
112194,172643.85
112195,30091.59
112196,47839.94
112197,292139.39
112198,41274.72
112199,40598.93
112200,59590.96
112201,305385.47
112202,105517.97
112203,33819.98
112204,35790.57
112205,7355.78
112206,57644.11
112207,304866.03
112208,71977.75
112209,246059.41
112210,52664.62
112211,197097.78
112212,54242.91
112213,22639.13
112214,204469.65
112215,33107.87
112216,126886.25
112217,47411.70
112218,47078.93
112219,305140.34
112220,25588.84
112221,12710.91
112222,23686.97
112223,54290.60
112224,125901.45
112225,18713.11
112226,38110.21
112227,59999.47
112228,68442.57
112229,54260.14
112230,210498.55
112231,22179.94
112232,88980.23
112233,19108.78
112234,28427.08
112235,23841.79
112236,106340.70
112237,166405.62
112238,38631.86
112239,9350.00
112240,5743.29
112241,18600.61
112242,57301.56
112243,60121.21
112244,160628.69
112245,96159.63
112246,42700.24
112247,472991.85
112248,85917.76
112249,15814.90
112250,40370.22
112251,58836.53
112252,61557.47
112253,25043.84
112254,256080.38
112255,43400.83
112256,32246.92
112257,34418.11
112258,574063.76
112259,185119.04
112260,100071.95
112261,448861.50
112262,72314.18
112263,27841.64
112264,125467.64
112265,10567.64
112266,40866.68
112267,51179.83
112268,112150.72
112269,368743.85
112270,38084.46
112271,80923.92
112272,78779.42
112273,119316.98
112274,4029.09
112275,199227.78
112276,385411.12
112277,80349.02
112278,33762.86
112279,30804.59
112280,152460.82
112281,139132.41
112282,284006.45
112283,115161.83
112284,56729.12
112285,69014.95
112286,32760.66
112287,34621.86
112288,104696.43
112289,288463.46
112290,133416.38
112291,39603.67
112292,442700.07
112293,29571.98
112294,360926.05
112295,22976.96
112296,237154.11
112297,66421.53
112298,49315.33
112299,47794.48
112300,19605.54
112301,29451.47
112302,13671.15
112303,46396.07
112304,106381.55
112305,22750.86
112306,135991.68
112307,39454.48
112308,128957.36
112309,49851.71
112310,56003.57
112311,68885.23
112312,31308.87
112313,84228.35
112314,61857.88
112315,140512.56
112316,46462.19
112317,29606.43
112318,27237.21
112319,27752.74
112320,639051.81
112321,86731.19
112322,18201.73
112323,239904.80
112324,183557.32
112325,221469.77
112326,126000.17
112327,269881.30
112328,115261.86
112329,67913.93
112330,345936.20
112331,370681.43
112332,240388.74
112333,159310.46
112334,177941.62
112335,71097.60
112336,30508.07
112337,343902.01
112338,209573.45
112339,345320.94
112340,42378.60
112341,798593.82
112342,10216.45
112343,37276.12
112344,39792.12
112345,27377.38
112346,39456.31
112347,17607.55
112348,25897.51
112349,25293.44
112350,73198.17
112351,35153.61
112352,31993.13
112353,8222.27
112354,217999.11
112355,48307.78
112356,64765.33
112357,64648.76
112358,82911.51
112359,50320.09
112360,20429.91
112361,196151.61
112362,52759.17
112363,47891.70
112364,22841.50
112365,5951.83
112366,11054.01
112367,18033.49
112368,64670.92
112369,112379.19
112370,29643.81
112371,274523.92
112372,106144.63
112373,60161.25
112374,10511.50
112375,32729.53
112376,90050.73
112377,121763.95
112378,36270.80
112379,144611.57
112380,73900.09
112381,63255.39
112382,69889.08
112383,23000.87
112384,235427.61
112385,7064.40
112386,181916.23
112387,178357.90
112388,37245.08
112389,23092.93
112390,8232.55
112391,13068.96
112392,99094.33
112393,67519.49
112394,58335.18
112395,11800.27
112396,60456.63
112397,38215.59
112398,668905.59
112399,115449.03
112400,85305.82
112401,128535.36
112402,683375.38
112403,103857.88
112404,90888.74
112405,46985.14
112406,30778.85
112407,9809.11
112408,19043.25
112409,51652.91
112410,19896.28
112411,92241.78
112412,64936.75
112413,109046.18
112414,74888.59
112415,171562.20
112416,66772.32
112417,113932.72
112418,48613.65
112419,230060.08
112420,47030.30
112421,243081.76
112422,74838.22
112423,106273.14
112424,6381.42
112425,40060.57
112426,90324.55
112427,164147.03
112428,128597.61
112429,7518.84
112430,18132.67
112431,143434.48
112432,31242.62
112433,77075.31
112434,43215.21
112435,80729.48
112436,59059.27
112437,122140.90
112438,118247.68
112439,9939.38
112440,216066.47
112441,40646.69
112442,308764.63
112443,34116.45
112444,30553.88
112445,54469.40
112446,451654.85
112447,540980.59
112448,80352.86
112449,100878.72
112450,48089.82
112451,91215.36
112452,11270.81
112453,17098.09
112454,93379.85
112455,886049.90
112456,71918.54
112457,129840.04
112458,76478.93
112459,62225.03
112460,51861.85
112461,381809.06
112462,67725.85
112463,37966.90
112464,71509.30
112465,130255.05
112466,185108.03
112467,48225.81
112468,36386.42
112469,118080.50
112470,23042.61
112471,46732.65
112472,247516.71
112473,74355.58
112474,15025.43
112475,84055.56
112476,65645.03
112477,33163.83
112478,79939.92
112479,10434.11
112480,55232.80
112481,201787.18
112482,69019.06
112483,424427.48
112484,48895.55
112485,64201.26
112486,24791.01
112487,21543.91
112488,160391.72
112489,59101.03
112490,186663.44
112491,59163.66
112492,77764.46
112493,347269.02
112494,13487.06
112495,6795.37
112496,23715.17
112497,221782.28
112498,15178.04
112499,54452.62
112500,11715.71
112501,60284.40
112502,80983.17
112503,66157.11
112504,19694.28
112505,23762.96
112506,62418.23
112507,70107.25
112508,66444.48
112509,10313.13
112510,35428.49
112511,81318.36
112512,11127.44
112513,36881.88
112514,45979.49
112515,51018.95
112516,99222.36
112517,5596.06
112518,70185.47
112519,20462.29
112520,15789.14
112521,134396.48
112522,99331.28
112523,22902.73
112524,88774.02
112525,6601.26
112526,7779.74
112527,50106.44
112528,42957.11
112529,20771.01
112530,96044.99
112531,163533.44
112532,198973.52
112533,126223.80
112534,247686.42
112535,37179.69
112536,119870.10
112537,112568.60
112538,14076.41
112539,267296.91
112540,27916.36
112541,103763.04
112542,158660.36
112543,118359.37
112544,196917.75
112545,40897.75
112546,30941.47
112547,104948.24
112548,270244.17
112549,79202.23
112550,97784.05
112551,6938.18
112552,160065.18
112553,49346.15
112554,93621.07
112555,20518.47
112556,89131.12
112557,51109.48
112558,91595.54
112559,34601.10
112560,29785.76
112561,181456.49
112562,27633.65
112563,153967.29
112564,340885.68
112565,133079.70
112566,32041.02
112567,41801.07
112568,21205.98
112569,142049.26
112570,35645.76
112571,163270.89
112572,165270.66
112573,23887.33
112574,53798.63
112575,84655.78
112576,64978.74
112577,300266.56
112578,330386.38
112579,123014.35
112580,143293.20
112581,36945.63
112582,16112.46
112583,9860.75
112584,235262.60
112585,55028.26
112586,27872.40
112587,176634.83
112588,44841.48
112589,323812.55
112590,7973.87
112591,117947.00
112592,32294.20
112593,16903.86
112594,20751.14
112595,28586.89
112596,86889.58
112597,50131.18
112598,89293.95
112599,4882.75
112600,24406.03
112601,192357.70
112602,12327.20
112603,66274.89
112604,164026.49
112605,14406.05
112606,38897.67
112607,35091.87
112608,92236.26
112609,171848.19
112610,39497.25
112611,176151.15
112612,166900.39
112613,100661.38
112614,114276.95
112615,53751.01
112616,73777.42
112617,50421.27
112618,391552.15
112619,42318.87
112620,27637.97
112621,42014.94
112622,48709.23
112623,113662.44
112624,37180.28
112625,50189.55
112626,167270.97
112627,35231.07
112628,43958.81
112629,54780.76
112630,47822.60
112631,73846.06
112632,199650.98
112633,149555.15
112634,23579.85
112635,55355.37
112636,73979.36
112637,200296.75
112638,19027.19
112639,43193.77
112640,30338.60
112641,26707.04
112642,377992.47
112643,35826.15
112644,137163.30
112645,79293.56
112646,11611.52
112647,30933.68
112648,52121.56
112649,32522.96
112650,22345.61
112651,46399.84
112652,17255.14
112653,36566.11
112654,59057.55
112655,25073.20
112656,6262.79
112657,328665.25
112658,593242.81
112659,105594.28
112660,58200.78
112661,125702.53
112662,79222.37
112663,365380.84
112664,240818.11
112665,417280.50
112666,103630.79
112667,27427.69
112668,35816.31
112669,68882.75
112670,7398.53
112671,213336.86
112672,86131.06
112673,71989.06
112674,20109.98
112675,37099.52
112676,107939.38
112677,39020.36
112678,12549.73
112679,212629.87
112680,125760.93
112681,28038.10
112682,104068.35
112683,8610.48
112684,334581.86
112685,62871.26
112686,42132.25
112687,15420.51
112688,22580.11
112689,160764.99
112690,22274.81
112691,130015.44
112692,30036.19
112693,123577.77
112694,30213.36
112695,122291.59
112696,221916.53
112697,127553.45
112698,75372.45
112699,226549.87
112700,275342.09
112701,332729.36
112702,114952.59
112703,30981.84
112704,31828.22
112705,139051.80
112706,66586.21
112707,134033.75
112708,169907.06
112709,170829.62
112710,56874.45
112711,146422.28
112712,6094.23
112713,50639.97
112714,90496.57
112715,133334.44
112716,38269.50
112717,17150.99
112718,100423.50
112719,20391.67
112720,34859.66
112721,27017.33
112722,50609.23
112723,28556.76
112724,66666.81
112725,88055.47
112726,7190.37
112727,64735.85
112728,101902.39
112729,76757.77
112730,31396.11
112731,46772.03
112732,15265.63
112733,78681.91
112734,308683.92
112735,14867.66
112736,50897.00
112737,45008.16
112738,348173.06
112739,21963.97
112740,59285.18
112741,11268.74
112742,13424.88
112743,31512.52
112744,104325.97
112745,118122.20
112746,44031.82
112747,76258.13
112748,247188.40
112749,67246.25
112750,3915.57
112751,411959.67
112752,37799.61
112753,14400.39
112754,60125.24
112755,50976.87
112756,57211.42
112757,95403.03
112758,16979.36
112759,5876.01
112760,33727.67
112761,70115.75
112762,246847.02
112763,25191.80
112764,64268.40
112765,31231.15
112766,46767.16
112767,46721.93
112768,10531.54
112769,116582.14
112770,42033.53
112771,68913.36
112772,13374.83
112773,92158.69
112774,23008.06
112775,49056.00
112776,35502.54
112777,34869.22
112778,1198307.78
112779,162490.20
112780,209752.36
112781,75743.99
112782,40098.50
112783,40713.13
112784,31766.23
112785,12262.21
112786,81612.99
112787,25771.60
112788,53752.04
112789,72164.44
112790,120008.15
112791,248437.46
112792,10935.24
112793,85013.61
112794,542491.59
112795,28116.79
112796,36016.51
112797,66639.97
112798,247557.96
112799,86449.18
112800,28192.84
112801,13762.13
112802,122349.20
112803,449958.92
112804,15052.41
112805,57633.08
112806,28005.01
112807,23311.74
112808,231666.10
112809,37895.79
112810,147625.98
112811,108870.06
112812,102445.57
112813,201277.39
112814,102476.17
112815,19924.47
112816,32693.04
112817,55052.94
112818,100132.44
112819,63038.47
112820,229078.66
112821,21640.12
112822,38610.50
112823,56404.16
112824,26890.49
112825,18605.44
112826,46395.13
112827,13877.61
112828,59620.55
112829,21564.47
112830,164150.49
112831,99918.76
112832,86127.56
112833,83226.80
112834,49595.36
112835,147901.31
112836,36407.17
112837,107611.79
112838,391048.15
112839,47995.25
112840,184155.52
112841,74398.93
112842,194978.72
112843,39639.94
112844,18023.92
112845,65883.84
112846,207208.90
112847,47910.45
112848,154169.46
112849,103100.10
112850,133889.12
112851,141127.56
112852,27238.09
112853,564492.44
112854,32095.71
112855,241410.76
112856,37861.08
112857,43455.19
112858,42913.36
112859,107162.37
112860,30754.22
112861,209733.68
112862,11396.17
112863,93284.52
112864,214148.01
112865,7181.12
112866,229618.07
112867,9877.52
112868,39306.51
112869,111815.97
112870,59328.25
112871,197864.31
112872,30246.41
112873,204797.23
112874,90790.76
112875,118526.38
112876,158033.67
112877,38559.53
112878,347968.13
112879,422322.57
112880,59702.72
112881,36976.60
112882,381029.67
112883,29532.13
112884,25877.62
112885,63657.51
112886,99780.34
112887,19478.84
112888,101448.96
112889,80643.95
112890,133048.75
112891,116538.27
112892,62369.20
112893,33927.73
112894,244470.91
112895,20917.43
112896,5528.65
112897,39982.08
112898,86488.65
112899,28446.88
112900,65661.82
112901,59735.93
112902,24732.93
112903,175488.58
112904,180737.63
112905,42924.27
112906,54421.28
112907,5871.02
112908,6398.71
112909,490913.74
112910,104723.75
112911,48249.22
112912,17513.66
112913,79295.91
112914,11519.64
112915,272921.60
112916,237310.61
112917,74323.02
112918,70986.93
112919,42235.10
112920,34323.07
112921,23433.06
112922,166193.22
112923,121496.04
112924,68297.68
112925,158353.24
112926,8551.26
112927,9180.59
112928,30579.82
112929,115744.17
112930,402825.80
112931,42421.71
112932,219995.15
112933,15786.39
112934,65739.31
112935,74797.92
112936,161887.69
112937,451245.08
112938,59338.44
112939,21846.75
112940,40253.94
112941,323859.62
112942,26906.16
112943,275984.36
112944,76482.37
112945,92460.39
112946,39759.34
112947,34251.21
112948,49115.63
112949,51708.68
112950,184359.45
112951,41055.42
112952,21640.35
112953,39274.36
112954,53548.38
112955,20361.89
112956,19136.60
112957,8845.08
112958,311065.74
112959,28703.93
112960,42391.89
112961,284844.08
112962,59174.72
112963,98624.02
112964,28518.55
112965,41022.09
112966,1153473.55
112967,57395.26
112968,20041.56
112969,42988.62
112970,28756.31
112971,59070.84
112972,142507.77
112973,54572.36
112974,99189.39
112975,69877.10
112976,32462.54
112977,7832.43
112978,87189.34
112979,237126.02
112980,595775.67
112981,47067.19
112982,36689.38
112983,91364.66
112984,20207.21
112985,22542.45
112986,25730.66
112987,19493.92
112988,27882.86
112989,63549.10
112990,91448.77
112991,26843.41
112992,9398.65
112993,194802.90
112994,10423.81
112995,151681.96
112996,26423.80
112997,413003.84
112998,44497.30
112999,44520.07
113000,22431.34
113001,57039.46
113002,18291.78
113003,73183.15
113004,106169.27
113005,13478.82
113006,37815.95
113007,26005.81
113008,9611.35
113009,33648.58
113010,27175.74
113011,22967.91
113012,16172.04
113013,53266.54
113014,103854.43
113015,161214.94
113016,285649.00
113017,60778.46
113018,40565.46
113019,119237.39
113020,44071.70
113021,41681.31
113022,100583.54
113023,44776.27
113024,52650.08
113025,9331.17
113026,8237.05
113027,39318.05
113028,30073.58
113029,141180.68
113030,56985.90
113031,114751.36
113032,8570.77
113033,107251.92
113034,33862.87
113035,28783.42
113036,201510.30
113037,96368.82
113038,54564.64
113039,96218.56
113040,35451.04
113041,23454.19
113042,236499.46
113043,23490.05
113044,380931.59
113045,956456.97
113046,49367.09
113047,15431.86
113048,26003.98
113049,152900.65
113050,111649.99
113051,132416.40
113052,11899.33
113053,72853.92
113054,45857.14
113055,45915.61
113056,68873.36
113057,33456.83
113058,19577.56
113059,75704.16
113060,66764.42
113061,48275.42
113062,64668.31
113063,188384.34
113064,74375.87
113065,41333.55
113066,19402.53
113067,62770.82
113068,97885.18
113069,11752.02
113070,75379.83
113071,130516.93
113072,35994.49
113073,259614.73
113074,178801.37
113075,32735.59
113076,84510.04
113077,56874.39
113078,44369.50
113079,35945.69
113080,73699.26
113081,44126.32
113082,27507.48
113083,43709.80
113084,71329.45
113085,23319.61
113086,235570.82
113087,869327.92
113088,31446.60
113089,150180.62
113090,23964.68
113091,53698.34
113092,121624.52
113093,37175.47
113094,148804.07
113095,189280.49
113096,29809.68
113097,37998.28
113098,200374.17
113099,16729.64
113100,39944.43
113101,378079.42
113102,228753.83
113103,45839.98
113104,21410.22
113105,10485.20
113106,96689.38
113107,111312.56
113108,160312.40
113109,19609.73
113110,65132.75
113111,154098.34
113112,65627.34
113113,125960.53
113114,35573.94
113115,87780.16
113116,77274.08
113117,195314.20
113118,5727.17
113119,201576.45
113120,66862.52
113121,35673.89
113122,111337.03
113123,652489.43
113124,20994.42
113125,120688.96
113126,132423.77
113127,72929.97
113128,41466.55
113129,134622.04
113130,124185.08
113131,38533.75
113132,115571.15
113133,108820.05
113134,265487.10
113135,90453.25
113136,81673.82
113137,52277.51
113138,89120.94
113139,80614.92
113140,159774.00
113141,97778.41
113142,14284.04
113143,57083.71
113144,235138.83
113145,65914.25
113146,62249.55
113147,25464.24
113148,172569.76
113149,42421.09
113150,26731.60
113151,31931.72
113152,44319.09
113153,316919.57
113154,164336.60
113155,47737.09
113156,678560.74
113157,120975.12
113158,34796.89
113159,232781.06
113160,10992.10
113161,240550.83
113162,46631.40
113163,32381.77
113164,44875.86
113165,271443.28
113166,19222.39
113167,123582.88
113168,42293.84
113169,58278.65
113170,182739.76
113171,44740.90
113172,133565.29
113173,29387.42
113174,88199.60
113175,52117.06
113176,63764.00
113177,64541.21
113178,47438.18
113179,7651.48
113180,23607.64
113181,37959.18
113182,23592.04
113183,56095.97
113184,41812.86
113185,81409.80
113186,135639.04
113187,170354.16
113188,16328.52
113189,58380.86
113190,13507.52
113191,12298.94
113192,25079.82
113193,110650.62
113194,67743.53
113195,246027.03
113196,30400.47
113197,169469.59
113198,85621.82
113199,42582.85
113200,25120.01
113201,26546.50
113202,15276.12
113203,24128.11
113204,98830.75
113205,487556.76
113206,75185.58
113207,26142.75
113208,178077.62
113209,100834.94
113210,95832.94
113211,40357.61
113212,78764.48
113213,67066.45
113214,30971.57
113215,69697.23
113216,64585.34
113217,24432.84
113218,45721.75
113219,3545.15
113220,116041.81
113221,19039.89
113222,26821.13
113223,111708.43
113224,28352.25
113225,62166.48
113226,30056.12
113227,55456.86
113228,33160.64
113229,4794.29
113230,31048.29
113231,38635.03
113232,307951.67
113233,59171.42
113234,38188.07
113235,205605.20
113236,41774.86
113237,284880.01
113238,85818.75
113239,31412.50
113240,73239.36
113241,126602.17
113242,96516.44
113243,55313.06
113244,28824.09
113245,79513.69
113246,75745.46
113247,37187.98
113248,67122.04
113249,124070.10
113250,190902.48
113251,138966.29
113252,28194.00
113253,13786.12
113254,74364.66
113255,167156.64
113256,27909.79
113257,105125.37
113258,28463.29
113259,25828.83
113260,64422.45
113261,35039.71
113262,69181.69
113263,626157.05
113264,6025.08
113265,66780.02
113266,261890.19
113267,131055.97
113268,176968.77
113269,36649.67
113270,30385.76
113271,227028.21
113272,33898.81
113273,52162.85
113274,121067.84
113275,20874.53
113276,8670.88
113277,9292.26
113278,502583.09
113279,183321.21
113280,91970.95
113281,154838.85
113282,42000.29
113283,51964.89
113284,477777.17
113285,29834.43
113286,40227.62
113287,207659.70
113288,102472.39
113289,95849.37
113290,31135.14
113291,75702.42
113292,286041.28
113293,11718.11
113294,26216.19
113295,333823.58
113296,26651.80
113297,35987.44
113298,165373.04
113299,44273.88
113300,61839.14
113301,22110.77
113302,178351.79
113303,75475.06
113304,151238.77
113305,42426.07
113306,21816.76
113307,148550.54
113308,39254.01
113309,55536.33
113310,18223.91
113311,84481.39
113312,34418.60
113313,198742.14
113314,16695.13
113315,101176.66
113316,45469.00
113317,79805.77
113318,25159.73
113319,71909.08
113320,103176.16
113321,23696.09
113322,49492.37
113323,43793.76
113324,9464.01
113325,7742.06
113326,30161.55
113327,90644.66
113328,7679.67
113329,452488.18
113330,157679.56
113331,9407.38
113332,46046.21
113333,266278.77
113334,23850.91
113335,6673.33
113336,96370.87
113337,9620.02
113338,67051.92
113339,28996.28
113340,131579.19
113341,191721.65
113342,75237.63
113343,18562.67
113344,20650.56
113345,12942.55
113346,44087.02
113347,91689.90
113348,189055.91
113349,38371.67
113350,37772.95
113351,85208.51
113352,69654.22
113353,98997.87
113354,33956.31
113355,117174.43
113356,62826.63
113357,14213.41
113358,126728.93
113359,2313.54
113360,162992.56
113361,136766.01
113362,172251.39
113363,57968.46
113364,72844.23
113365,87504.34
113366,35006.12
113367,58940.87
113368,32299.42
113369,83483.48
113370,18146.24
113371,189759.38
113372,27189.96
113373,161469.95
113374,199598.56
113375,131622.05
113376,95709.98
113377,31571.72
113378,125955.24
113379,172637.83
113380,26356.44
113381,146559.14
113382,224779.23
113383,29584.61
113384,113833.81
113385,255662.78
113386,34607.54
113387,140901.88
113388,77627.15
113389,19368.09
113390,145090.55
113391,26623.36
113392,15661.56
113393,51088.41
113394,18368.36
113395,69343.25
113396,18142.52
113397,22272.83
113398,20054.75
113399,60599.26
113400,453906.59
113401,28593.09
113402,504116.31
113403,250628.20
113404,24602.64
113405,56724.74
113406,25048.03
113407,288021.16
113408,139052.99
113409,88152.78
113410,8208.57
113411,49388.41
113412,70873.72
113413,318198.04
113414,46783.28
113415,16021.39
113416,59564.98
113417,487366.97
113418,234066.45
113419,29367.52
113420,22798.05
113421,21647.93
113422,124530.85
113423,56083.25
113424,53431.00
113425,42842.24
113426,166108.26
113427,85162.17
113428,248610.39
113429,150509.75
113430,281060.42
113431,94790.30
113432,38048.88
113433,45388.21
113434,7881.74
113435,23234.52
113436,133353.44
113437,36681.79
113438,29331.24
113439,105069.10
113440,99514.84
113441,13828.07
113442,151959.26
113443,209801.87
113444,175686.87
113445,37304.85
113446,17312.84
113447,46276.32
113448,25928.75
113449,84646.19
113450,91888.41
113451,44618.39
113452,129033.92
113453,116672.28
113454,337654.58
113455,44601.43
113456,28226.73
113457,45521.45
113458,91367.61
113459,42961.69
113460,31511.99
113461,7187.47
113462,33915.27
113463,16191.65
113464,112881.61
113465,1552.96
113466,12614.37
113467,34310.92
113468,163356.34
113469,31897.85
113470,54933.15
113471,20475.43
113472,699299.43
113473,354351.16
113474,45419.00
113475,48629.49
113476,39400.88
113477,149179.61
113478,273888.77
113479,132812.90
113480,169362.77
113481,231075.71
113482,52833.89
113483,27230.69
113484,80882.77
113485,97724.53
113486,13569.66
113487,211393.15
113488,25660.79
113489,30499.28
113490,81511.79
113491,271636.17
113492,30537.92
113493,87935.86
113494,30554.88
113495,202936.99
113496,48541.96
113497,78762.24
113498,40701.07
113499,42088.92
113500,89113.12
113501,33312.70
113502,316900.48
113503,55388.43
113504,157923.23
113505,9367.27
113506,7753.36
113507,210684.46
113508,160617.88
113509,26514.08
113510,211154.23
113511,167851.12
113512,45785.01
113513,33365.98
113514,38567.01
113515,29653.22
113516,795229.90
113517,9543.87
113518,50658.35
113519,164142.45
113520,277983.03
113521,151708.78
113522,31778.51
113523,32193.82
113524,47824.11
113525,57361.26
113526,31515.05
113527,78631.80
113528,42968.69
113529,51713.91
113530,106037.93
113531,125119.44
113532,34042.78
113533,180552.60
113534,463222.40
113535,94855.59
113536,29993.95
113537,72472.31
113538,75966.79
113539,43013.11
113540,116497.38
113541,24940.37
113542,328197.31
113543,5628.37
113544,62904.24
113545,137121.11
113546,208945.89
113547,28881.11
113548,14991.11
113549,43802.40
113550,54018.37
113551,25495.78
113552,54298.02
113553,12392.57
113554,347631.61
113555,102192.03
113556,67217.83
113557,50765.29
113558,24490.16
113559,212068.45
113560,43321.41
113561,63049.66
113562,77050.10
113563,353588.17
113564,28187.04
113565,30142.82
113566,169169.24
113567,406789.11
113568,188061.57
113569,277810.77
113570,309365.56
113571,43604.45
113572,280907.17
113573,94969.79
113574,26192.11
113575,22802.34
113576,239445.43
113577,30909.16
113578,88064.56
113579,175216.99
113580,74666.27
113581,274059.47
113582,19608.08
113583,96815.20
113584,58609.16
113585,95747.34
113586,22656.42
113587,134182.42
113588,149807.39
113589,32242.63
113590,221848.66
113591,133567.95
113592,21503.82
113593,37133.25
113594,85831.21
113595,301375.74
113596,226526.26
113597,24619.13
113598,69327.46
113599,40314.63
113600,172885.76
113601,43436.32
113602,92710.23
113603,29438.78
113604,48293.50
113605,29602.28
113606,101104.95
113607,78219.41
113608,142824.61
113609,89964.96
113610,62269.30
113611,266719.81
113612,309934.05
113613,104462.47
113614,25563.49
113615,36143.47
113616,81210.32
113617,144449.39
113618,213640.17
113619,248291.30
113620,68613.51
113621,141522.76
113622,11146.79
113623,18294.25
113624,262722.96
113625,131508.56
113626,87924.37
113627,71492.08
113628,51345.53
113629,10754.28
113630,81560.67
113631,33427.90
113632,24343.09
113633,34315.77
113634,416629.43
113635,75204.70
113636,112521.35
113637,10075.29
113638,63406.21
113639,101766.04
113640,41186.69
113641,69363.07
113642,156505.92
113643,63847.22
113644,449144.45
113645,197457.86
113646,102811.90
113647,77746.62
113648,74595.54
113649,17948.16
113650,10535.52
113651,67549.75
113652,34296.68
113653,187060.19
113654,53769.71
113655,67297.34
113656,113828.66
113657,645446.96
113658,26791.49
113659,166749.42
113660,15889.58
113661,115792.52
113662,82339.96
113663,83931.72
113664,12024.26
113665,509980.21
113666,36080.96
113667,59169.80
113668,136804.57
113669,28976.54
113670,44929.16
113671,73382.32
113672,220833.54
113673,83732.66
113674,276351.13
113675,444419.54
113676,88326.13
113677,22319.22
113678,59068.00
113679,210965.22
113680,39849.19
113681,48059.03
113682,31754.07
113683,27171.42
113684,81116.94
113685,40467.54
113686,119983.15
113687,63947.40
113688,106188.64
113689,33999.67
113690,40356.85
113691,126330.13
113692,13993.64
113693,183162.48
113694,122400.28
113695,35712.80
113696,100315.76
113697,355743.38
113698,50371.51
113699,38324.35
113700,127189.85
113701,181267.00
113702,154099.85
113703,36125.54
113704,41559.96
113705,76359.54
113706,325849.31
113707,33155.65
113708,50232.85
113709,23854.94
113710,82468.05
113711,28555.92
113712,11696.00
113713,30168.56
113714,42922.93
113715,31560.53
113716,16478.26
113717,647774.48
113718,110502.53
113719,32098.96
113720,36843.96
113721,36165.97
113722,246223.34
113723,155616.55
113724,89226.43
113725,220676.36
113726,19764.29
113727,53895.74
113728,39874.54
113729,7572.30
113730,66904.29
113731,31052.24
113732,93219.89
113733,76052.96
113734,74848.22
113735,9420.71
113736,29792.50
113737,73438.13
113738,63227.24
113739,26282.88
113740,49616.69
113741,26800.11
